Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
3.32642,47.468572,47.15981,40.880763,45.191761,37.018287,37.469893,40.617131,33.053695,49.19536,57.155793
3.33362,48.810811,48.600759,42.773703,46.672049,38.320931,38.313533,41.381876,33.697046,50.536465,58.652002
3.34082,50.349858,50.250055,44.99358,48.375477,39.846071,39.288958,42.25293,34.444002,52.087779,60.331243
3.34802,52.112042,52.141753,47.559081,50.325337,41.61703,40.416655,43.254822,35.309427,53.872658,62.22476
3.35522,54.111156,54.298221,50.472369,52.530395,43.646034,41.70789,44.404808,36.300772,55.90171,64.351191
3.36242,56.345689,56.724739,53.714692,54.981146,45.930486,43.16191,45.709652,37.416411,58.168712,66.713524
3.36962,58.795391,59.405979,57.243644,57.649018,48.450222,44.766993,47.16306,38.643986,60.647069,69.294317
3.37682,61.419624,62.304884,60.994351,60.486294,51.165343,46.499335,48.744102,39.95985,63.289544,72.054043
3.38402,64.158204,65.363269,64.880409,63.425978,54.016584,48.32112,50.419118,41.32973,66.030218,74.931853
3.39122,66.934568,68.503242,68.796805,66.384681,56.928721,50.181297,52.142492,42.710527,68.78736,77.847577
3.39842,69.659568,71.631813,72.624602,69.267014,59.814799,52.019793,53.858048,44.05293,71.468663,80.704984
3.40562,72.237039,74.64623,76.237763,71.970176,62.579443,53.771317,55.501506,45.305119,73.977762,83.399114
3.41282,74.569272,77.4378,79.511038,74.390596,65.124173,55.367576,57.005029,46.41582,76.218861,85.823668
3.42002,76.561535,79.896921,82.328088,76.429664,67.352713,56.741307,58.30097,47.336162,78.100448,87.876635
3.42722,78.127472,81.921439,84.587526,78.00138,69.177218,57.832026,59.326332,48.021865,79.541881,89.465516
3.43442,79.195399,83.4243,86.208446,79.038744,70.524188,58.589947,60.027647,48.43685,80.479335,90.513236
3.44162,79.713733,84.339094,87.135743,79.496963,71.33949,58.97725,60.364323,48.555608,80.869622,90.963051
3.44882,79.653718,84.623788,87.342425,79.353324,71.590868,58.970084,60.311113,48.364811,80.691843,90.781846
3.45602,79.011884,84.262669,86.829741,78.608663,71.269833,58.561296,59.859584,47.864914,79.948293,89.962204
3.46322,77.809546,83.265526,85.62626,77.287614,70.391289,57.760709,59.017302,47.070072,78.66369,88.52191
3.47042,76.088676,81.665335,83.785347,75.435602,68.99053,56.593114,57.806237,46.005612,76.882264,86.502122
3.47762,73.905941,79.514507,81.380274,73.115304,67.119376,55.095314,56.261417,44.705584,74.661744,83.963206
3.48482,71.330023,76.882337,78.497947,70.402435,64.843448,53.313508,54.428625,43.20987,72.069277,80.980737
3.49202,68.438238,73.851649,75.233824,67.380873,62.23865,51.301044,52.360392,41.56119,69.180765,77.639468
3.49922,65.311657,70.514045,71.686865,64.13685,59.385709,49.114435,50.113394,39.803401,66.075976,74.028211
3.50642,62.031065,66.962619,67.954788,60.753569,56.365306,46.81063,47.74559,37.980499,62.831883,70.235804
3.51362,58.674037,63.287242,64.129338,57.307461,53.254673,44.444779,45.313402,36.13423,59.520776,66.348347
3.52082,55.311733,59.570186,60.292782,53.867775,50.124751,42.067918,42.868789,34.302199,56.209335,62.445297
3.52802,52.005623,55.88362,56.51608,50.495061,47.037307,39.724589,40.457872,32.516831,52.954546,58.5963
3.53522,48.805686,52.288274,52.857545,47.239373,44.043221,37.452085,38.119453,30.804367,49.801948,54.859953
3.54242,45.749907,48.834059,49.362064,44.139898,41.183056,35.279904,35.884365,29.183991,46.788241,51.282652
3.54962,42.866839,45.55992,46.06265,41.225605,38.488087,33.229491,33.775124,27.668717,43.941269,47.897734
3.55682,40.17581,42.493759,42.98242,38.515069,35.97969,31.315989,31.806947,26.266036,41.279657,44.726859
3.56402,37.687322,39.652104,40.13489,36.017617,33.668443,29.548604,29.988807,24.979188,38.813131,41.782554
3.57122,35.40509,37.041039,37.524076,33.734898,31.556884,27.930844,28.324243,23.808624,36.544707,39.070699
3.57842,33.328547,34.658964,35.147082,31.662806,29.64295,26.461785,26.812236,22.752806,34.472087,36.591014
3.58562,31.452065,32.499565,32.996002,29.79374,27.920219,25.137197,25.448093,21.806911,32.588423,34.33775
